TimeGenerated,EventID,EventType,SourceName,ComputerName,StringInserts
2024-05-27 13:12:12,9027,Information,Desktop Window Manager,DESKTOP-QUV3S97,
2024-05-27 13:12:17,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 13:12:22,6000,Information,Wlclntfy,DESKTOP-QUV3S97,"('WSearch',)"
2024-05-27 13:12:23,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:57:20,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:57:21,6000,Information,Wlclntfy,DESKTOP-QUV3S97,"('SessionEnv',)"
2024-05-27 18:57:25,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:57:26,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:57:30,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:57:35,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:57:40,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:57:45,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:57:50,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:57:55,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:58:00,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:58:05,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:58:10,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:58:15,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:58:20,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:58:25,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:58:30,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:58:35,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:58:40,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:58:45,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:58:50,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:58:55,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:59:00,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:59:05,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:59:10,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:59:15,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:59:21,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:59:26,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:59:31,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:59:36,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:59:41,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:59:46,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:59:51,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 18:59:56,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:00:01,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:00:06,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:00:11,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:00:16,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:00:21,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:00:26,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:00:31,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:00:36,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:00:41,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:00:46,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:00:51,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:00:56,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:01:01,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:01:06,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:01:11,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:01:16,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:01:21,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:01:26,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:01:27,16394,Information,Software Protection Platform Service,DESKTOP-QUV3S97,Offline downlevel migration succeeded.
2024-05-27 19:01:31,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:01:36,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:01:41,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:01:46,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:01:51,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:01:56,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:01:57,16384,Information,Software Protection Platform Service,DESKTOP-QUV3S97,"Successfully scheduled (Software Protection service for re-start at 2124-05-03T13:01:57Z, RulesEngine)"
2024-05-27 19:02:01,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:02:06,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:02:11,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:02:16,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:02:21,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:02:26,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:02:31,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:02:36,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:02:41,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:02:46,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:02:51,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:02:56,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:03:01,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:03:06,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:03:11,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:03:16,0,Information,SynTPEnhService,DESKTOP-QUV3S97,The operation completed successfully.
2024-05-27 19:03:20,16394,Information,Software Protection Platform Service,DESKTOP-QUV3S97,Offline downlevel migration succeeded.
